Name,Address,latitude,longitude
Zion Cannabis,2331 SW 6th Ave,45.50615245,-122.68456365
Terwilliger Plaza,2545 SW TERWILLIGER,45.504519349999995,-122.6847805036189
Bicc,3280 SW Sam Jackson Park Rd,45.4988936,-122.68762339875991
 - Sam'S Cafe,3181 SW Sam Jackson Park Rd,45.50071025,-122.68745847653
W,2831 SW Barbur Blvd,45.502930250000006,-122.68250780036897
Se,SW 5th & Hall,45.5102522,-122.6823091
Black Box,SW 6TH & ALDER (SW),45.5196429,-122.6782266
(),SW 6th & Harvey Milk St,45.5209414,-122.6775476
Black Box (Se),SW 5th & Washington,45.5202661,-122.6768627
Black Box (Nw),SW 5th & Alder,45.5195956,-122.677239
Black Box,SW 5TH & TAYLOR (SW),45.5176131,-122.6783301
Se,SW 5TH & MADISON,45.5155527,-122.6794124
Portland Plaza,1500 SW 5,50.1131393,10.3927086
,SW 6th & Mill,45.5122659,-122.6822048
Green Zebra,1704 SW Broadway,45.5124288,-122.6831381
Mid-Block,SW 6TH & COLLEGE,45.5095767,-122.6836597
Duck House,1968 SW 5th Ave,45.5093034,-122.6825246
West End Bikes,1111 SW Harvey Milk St.,45.5225553,-122.6823199
Street, SW 11TH & TAYLOR,45.5190589,-122.683838
Bee Cleaners,1026 SW SALMON,45.5180872,-122.6839433
Nw Film Center,SW 10th & Salmon,45.5180313,-122.6834697
Portland Art Museum,SW Park & Jefferson,44.62060515,-121.13515634230478
Oregon Historical Society,1200 SW Park Ave,45.5157211,-122.6824461
Sesame Donut,1503 SW Park Ave,45.5142123,-122.6843061
,SW Park & Montgomery St,39.277228,-76.644758
Safeway -  (Mid Block),10TH & SW JEFFERSON,45.5159329,-122.6837513
Sizzle Pie (W Burn),926 W BURNSIDE,45.5228592,-122.68086
Living Room Theaters,341 SW 10th Ave,45.522372149999995,-122.68140787704084
Sentinel Hotel,614 SW 11th Ave,45.5206146,-122.68258815567216
Lardo,1205 SW Washington St,45.5221128,-122.6836868
,SW 13th & Washington,47.3080052,-119.5623456
Commodore Grocery,621 SW 16TH,26.520003525252527,-80.083725989899
Coco Donuts,709 SW 17th Ave,45.521719,-122.68943
Providence Park Max SE Side,SW 18th & Morrison,45.5218601,-122.6904959
Hotlips,SW 18th & Morrison,45.5218601,-122.6904959
Zupans,2340 W BURNSIDE,45.5232052,-122.6993847
Multnomah Athletic,1849 SW SALMON,45.520668650000005,-122.69232535798886
Kgw,1501 SW JEFFERSON,45.51792555,-122.68928100239212
,18TH & SW JEFFERSON,33.485162,-86.865728
West Side Market,919 SW 14TH,45.519556,-122.6873956
Martha Washington Apartments,1115 SW 11TH,35.7203355,51.3700255
Nw,SW 11th & Jefferson,45.5164858,-122.68528272674149
Plaid Pantry,1305 SW 11th Ave,45.5162513,-122.68580469217872
The Benson Tower,1500 SW 11th Ave,45.5146412,-122.68590091880712
,SW 12th & Jefferson,38.8887736,-77.0285632
The 1200 Building,1220 SW 12TH,45.334563,-122.875037
Peter Paulson Apartments,1530 SW 13TH,40.79776646938775,-96.74032091836735
Vista Spring,2440 SW VISTA AVE.,45.509637938775505,-122.69876928571428
Street,NE 82nd & Jonesmore,45.534034,-122.578772
Lucky Lion,7817 NE Halsey St,45.533684163265306,-122.5827461632653
The Grass Shack,6802 NE Broadway St,45.000505,-93.2130547
Nectar - Sandy,3350 NE Sandy Blvd,45.5318681,-122.6296941
,3028 NE Sandy Blvd,45.5303714,-122.6336976
Katie O'Briens,2809 NE Sandy Blvd,45.529535100000004,-122.63694034608218
Seven Virtues Coffee,2705 NE SANDY,45.5291465,-122.6381368
Basilisk,820 NE 27th Ave,45.5290342,-122.6382126
Pollo Norte,2935 NE Glisan St,45.5268024,-122.63509447451474
K & T Market,2731 NE GLISAN,45.5267851,-122.6374553
NE Corner,28TH & NE GLISAN,45.5263813,-122.6369736
Stamtisch,401 NE 28th Ave,45.52585525,-122.63745077513337
City State Diner,126 NE 28TH AVE,45.52383706122449,-122.63712587755103
Crema,100 NE 28TH ST,32.794714049999996,-97.3484962003173
Laurelhurst Theater    ,2735 E BURNSIDE,45.52323845,-122.63751375
Starbucks - Wwbox,2803 E BURNSIDE,45.5230308,-122.6371351
Music Millennium,3158 E BURNSIDE,45.5226861,-122.63207114990047
Music Millennium,3158 E BURNSIDE,45.5226861,-122.63207114990047
Street,2725 SE Ankeny,45.52226115,-122.6375812
Push Coffeen,2816 SE STARK,45.5191846,-122.636636
Paradox Cafe,3439 SE BELMONT,45.5165562,-122.6286994
Belmont 34Th Grocery,3400 SE BELMONT,45.516363,-122.629381
Straight From Ny Pizza,3330 SE Belmont St,45.5163478,-122.6302699
Plaid Pantry,2983 SE Belmont,45.5166991,-122.63508125617506
Bare Bones Cafe,2908 SE Belmont,45.516216,-122.63567
,SE 26th & Belmont,45.516509,-122.638998
Serra,2519 SE Belmont St,45.516597250000004,-122.63964230015527
 - Jam,2239 SE Hawthorne Blvd,45.51198960204081,-122.64287481632653
